宮西　尚生, (日), 左投げ, 58試合, 3勝, 1敗, 2セーブ, 42HP, 防御率1.52, 勝率0.750
牧田　和久, (西), 右投げ, 50試合, 7勝, 1敗, 0セーブ, 32HP, 防御率1.60, 勝率0.875
スアレス, (ソ), 右投げ, 58試合, 2勝, 6敗, 1セーブ, 28HP, 防御率3.19, 勝率0.250
ミコライオ, (楽), 右投げ, 45試合, 5勝, 1敗, 0セーブ, 28HP, 防御率2.38, 勝率0.833
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
吉田　一将, (オ), 右投げ, 54試合, 5勝, 2敗, 1セーブ, 26HP, 防御率2.66, 勝率0.714
益田　直也, (ロ), 右投げ, 61試合, 3勝, 2敗, 14セーブ, 24HP, 防御率1.83, 勝率0.600
福山　博之, (楽), 右投げ, 69試合, 4勝, 5敗, 0セーブ, 23HP, 防御率2.71, 勝率0.444
森福　允彦, (ソ), 左投げ, 50試合, 2勝, 1敗, 0セーブ, 18HP, 防御率2.00, 勝率0.667
青山　浩二, (楽), 右投げ, 50試合, 1勝, 5敗, 0セーブ, 15HP, 防御率4.83, 勝率0.167
大谷　智久, (ロ), 右投げ, 32試合, 1勝, 3敗, 0セーブ, 14HP, 防御率3.45, 勝率0.250
松永　昂大, (ロ), 左投げ, 53試合, 3勝, 0敗, 0セーブ, 13HP, 防御率3.46, 勝率1.000
佐藤　達也, (オ), 右投げ, 43試合, 1勝, 4敗, 0セーブ, 13HP, 防御率5.01, 勝率0.200
岩嵜　翔, (ソ), 右投げ, 35試合, 4勝, 2敗, 1セーブ, 10HP, 防御率1.95, 勝率0.667
鍵谷　陽平, (日), 右投げ, 48試合, 5勝, 3敗, 3セーブ, 8HP, 防御率4.23, 勝率0.625
バース, (日), 右投げ, 37試合, 8勝, 8敗, 0セーブ, 8HP, 防御率3.65, 勝率0.500
サファテ, (ソ), 右投げ, 64試合, 0勝, 7敗, 43セーブ, 8HP, 防御率1.88, 勝率0.000
藤岡　貴裕, (ロ), 左投げ, 32試合, 1勝, 1敗, 0セーブ, 7HP, 防御率2.55, 勝率0.500
バスケス, (西), 右投げ, 19試合, 0勝, 0敗, 0セーブ, 6HP, 防御率5.51, 勝率0.000
比嘉　幹貴, (オ), 右投げ, 16試合, 1勝, 1敗, 0セーブ, 6HP, 防御率4.82, 勝率0.500
増井　浩俊, (日), 右投げ, 30試合, 10勝, 3敗, 10セーブ, 5HP, 防御率2.44, 勝率0.769
飯田　優也, (ソ), 左投げ, 30試合, 1勝, 0敗, 0セーブ, 5HP, 防御率3.29, 勝率1.000
井口　和朋, (日), 右投げ, 37試合, 0勝, 1敗, 0セーブ, 4HP, 防御率3.86, 勝率0.000
寺原　隼人, (ソ), 右投げ, 14試合, 2勝, 1敗, 0セーブ, 4HP, 防御率4.05, 勝率0.667
_橋　朋己, (西), 左投げ, 7試合, 1勝, 0敗, 1セーブ, 4HP, 防御率1.69, 勝率1.000
野田　昇吾, (西), 左投げ, 22試合, 0勝, 0敗, 0セーブ, 4HP, 防御率3.93, 勝率0.000
高梨　裕稔, (日), 右投げ, 37試合, 10勝, 2敗, 0セーブ, 3HP, 防御率2.38, 勝率0.833
高野　圭佑, (ロ), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 3HP, 防御率5.87, 勝率1.000
高野　圭佑, (ロ), 右投げ, 14試合, 1勝, 0敗, 0セーブ, 3HP, 防御率5.87, 勝率1.000
藤原　良平, (西), 右投げ, 10試合, 2勝, 0敗, 0セーブ, 3HP, 防御率2.08, 勝率1.000
西宮　悠介, (楽), 左投げ, 29試合, 3勝, 0敗, 0セーブ, 3HP, 防御率4.44, 勝率1.000
濱矢　廣大, (楽), 左投げ, 13試合, 2勝, 0敗, 0セーブ, 3HP, 防御率10.24, 勝率1.000
濱矢　廣大, (楽), 左投げ, 13試合, 2勝, 0敗, 0セーブ, 3HP, 防御率10.24, 勝率1.000
小石　博孝, (西), 左投げ, 50試合, 0勝, 2敗, 1セーブ, 2HP, 防御率3.74, 勝率0.000
小石　博孝, (西), 左投げ, 50試合, 0勝, 2敗, 1セーブ, 2HP, 防御率3.74, 勝率0.000
十亀　剣, (西), 右投げ, 21試合, 4勝, 6敗, 0セーブ, 2HP, 防御率6.31, 勝率0.400
石川　直也, (日), 右投げ, 1試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
上原　健太, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
上原　健太, (日), 左投げ, 1試合, 0勝, 0敗, 0セーブ, 1HP, 防御率0.00, 勝率0.000
大谷　翔平, (日), 右投げ, 21試合, 10勝, 4敗, 0セーブ, 1HP, 防御率1.86, 勝率0.714
