野村　祐輔, (広), 右投げ, 25試合, 16勝, 3敗, 0セーブ, 0HP, 防御率2.71, 勝率0.842
ジョンソン, (広), 左投げ, 26試合, 15勝, 7敗, 0セーブ, 0HP, 防御率2.15, 勝率0.682
メッセンジャー, (神), 右投げ, 28試合, 12勝, 11敗, 0セーブ, 0HP, 防御率3.01, 勝率0.522
岩貞　祐太, (神), 左投げ, 25試合, 10勝, 9敗, 0セーブ, 0HP, 防御率2.90, 勝率0.526
メッセンジャー, (神), 右投げ, 28試合, 12勝, 11敗, 0セーブ, 0HP, 防御率3.01, 勝率0.522
石田　健大, (デ), 左投げ, 25試合, 9勝, 4敗, 0セーブ, 0HP, 防御率3.12, 勝率0.692
能見　篤史, (神), 左投げ, 26試合, 8勝, 12敗, 0セーブ, 1HP, 防御率3.67, 勝率0.400
小川　泰弘, (ヤ), 右投げ, 25試合, 8勝, 9敗, 0セーブ, 0HP, 防御率4.50, 勝率0.471
小川　泰弘, (ヤ), 右投げ, 25試合, 8勝, 9敗, 0セーブ, 0HP, 防御率4.50, 勝率0.471
藤浪　晋太郎, (神), 右投げ, 26試合, 7勝, 11敗, 0セーブ, 0HP, 防御率3.25, 勝率0.389
小川　泰弘, (ヤ), 右投げ, 25試合, 8勝, 9敗, 0セーブ, 0HP, 防御率4.50, 勝率0.471
小川　泰弘, (ヤ), 右投げ, 25試合, 8勝, 9敗, 0セーブ, 0HP, 防御率4.50, 勝率0.471
