渡邉　諒, (日), 右打ち, 1試合, 打率0.333, 3打席, 1安打, 1本塁打, 1打点, 0三振, 長打率1.333
松葉　貴大, (オ), 左打ち, 28試合, 打率1.000, 2打席, 2安打, 0本塁打, 0打点, 0三振, 長打率1.000
ディクソン, (オ), 右打ち, 27試合, 打率0.600, 6打席, 3安打, 0本塁打, 5打点, 1三振, 長打率0.800
飯山　裕志, (日), 右打ち, 36試合, 打率0.333, 3打席, 1安打, 0本塁打, 0打点, 2三振, 長打率0.667
美馬　学, (楽), 左打ち, 26試合, 打率0.667, 3打席, 2安打, 0本塁打, 1打点, 1三振, 長打率0.667
山川　穂高, (西), 右打ち, 49試合, 打率0.259, 157打席, 36安打, 14本塁打, 32打点, 36三振, 長打率0.590
大谷　翔平, (日), 左打ち, 104試合, 打率0.322, 382打席, 104安打, 22本塁打, 67打点, 98三振, 長打率0.588
柳田　悠岐, (ソ), 左打ち, 120試合, 打率0.306, 536打席, 131安打, 18本塁打, 73打点, 97三振, 長打率0.523
レアード, (日), 右打ち, 143試合, 打率0.263, 598打席, 144安打, 39本塁打, 97打点, 138三振, 長打率0.516
アマダー, (楽), 右打ち, 39試合, 打率0.258, 138打席, 34安打, 9本塁打, 19打点, 32三振, 長打率0.515
浅村　栄斗, (西), 右打ち, 143試合, 打率0.309, 611打席, 172安打, 24本塁打, 82打点, 108三振, 長打率0.510
メヒア, (西), 右打ち, 137試合, 打率0.252, 583打席, 129安打, 35本塁打, 103打点, 148三振, 長打率0.509
サブロー, (ロ), 右打ち, 1試合, 打率0.250, 4打席, 1安打, 0本塁打, 0打点, 3三振, 長打率0.500
関谷　亮太, (ロ), 右打ち, 16試合, 打率0.500, 3打席, 1安打, 0本塁打, 1打点, 0三振, 長打率0.500
水口　大地, (西), 左打ち, 20試合, 打率0.500, 6打席, 3安打, 0本塁打, 1打点, 1三振, 長打率0.500
吉田　正尚, (オ), 左打ち, 63試合, 打率0.290, 258打席, 67安打, 10本塁打, 34打点, 34三振, 長打率0.494
ペゲーロ, (楽), 左打ち, 51試合, 打率0.279, 200打席, 51安打, 10本塁打, 26打点, 67三振, 長打率0.492
デスパイネ, (ロ), 右打ち, 134試合, 打率0.280, 570打席, 139安打, 24本塁打, 92打点, 89三振, 長打率0.480
ウィーラー, (楽), 右打ち, 140試合, 打率0.265, 589打席, 137安打, 27本塁打, 88打点, 123三振, 長打率0.478
岡　大海, (日), 右打ち, 41試合, 打率0.374, 154打席, 49安打, 2本塁打, 12打点, 27三振, 長打率0.473
Ｔ−岡田, (オ), 左打ち, 123試合, 打率0.284, 513打席, 129安打, 20本塁打, 76打点, 105三振, 長打率0.471
松田　宣浩, (ソ), 右打ち, 143試合, 打率0.259, 609打席, 142安打, 27本塁打, 85打点, 141三振, 長打率0.467
角中　勝也, (ロ), 左打ち, 143試合, 打率0.339, 607打席, 178安打, 8本塁打, 69打点, 64三振, 長打率0.461
糸井　嘉男, (オ), 左打ち, 143試合, 打率0.306, 616打席, 163安打, 17本塁打, 70打点, 84三振, 長打率0.451
中村　剛也, (西), 右打ち, 108試合, 打率0.238, 432打席, 92安打, 21本塁打, 61打点, 125三振, 長打率0.447
